image_id,time_sec_FasterR-CNN,time_sec_YOLOv8,num_objects_FasterR-CNN,num_objects_YOLOv8,avg_confidence_FasterR-CNN,avg_confidence_YOLOv8,brightness
1,3.2568278312683105,0.588587760925293,24.0,16.0,0.808104932308197,0.6144787520170212,0.3192325394892431
2,2.6759631633758545,0.29615211486816406,18.0,14.0,0.8870548009872437,0.6862939638750893,0.4172095860566449
3,2.4705018997192383,0.349639892578125,0.0,0.0,0.0,0.0,0.6196745484310047
4,2.7929742336273193,0.29552316665649414,0.0,0.0,0.0,0.0,0.5613198529411765
5,2.6046438217163086,0.31027889251708984,11.0,6.0,0.8193067312240601,0.7554011046886444,0.37171818175334403
6,2.7478818893432617,0.3592708110809326,1.0,1.0,0.986214816570282,0.7460306882858276,0.4348028369351413
7,2.8067400455474854,0.2877998352050781,1.0,1.0,0.9702456593513489,0.8704494833946228,0.495885758410352
8,2.9406471252441406,0.46175694465637207,4.0,2.0,0.7535295486450195,0.28955820202827454,0.37034957460621387
9,3.06793212890625,0.4723939895629883,19.0,19.0,0.8570552468299866,0.6345070365228151,0.5126967535982877
10,2.9378979206085205,0.30643200874328613,9.0,7.0,0.9327001571655273,0.9286503280912127,0.7266353137254902
